,,,,externalizing,externalizing,externalizing,externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing
,,,,alpha,alpha,delta,delta,alpha,alpha,beta,beta,gamma,gamma,delta,delta
,,,,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched
generation,learning_step,game_round,metric,,,,,,,,,,,,
0,9,4,payoffs,2.0,2.4051187449615333e-13,1.0,1.0000000000002405,2.0,2.4051187449615333e-13,3.0,1.0000000000002405,0.0,2.4051187449615333e-13,1.0,1.0000000000002405
0,10,0,shares,0.0,2.1986678085849547e-27,0.0,0.010000000000000002,0.0,6.163380313809296e-26,0.0,0.7096766019011076,0.0,8.533730340933214e-35,0.0,0.2803233980988918
0,10,0,payoffs,2.0,1.2766494206403053e-25,1.0,1.0,2.0,1.2766494206403053e-25,3.0,1.0,0.0,1.2766494206403053e-25,1.0,1.0
0,10,1,shares,1.403463990128952e-52,2.1986678085849547e-27,0.00290323398098892,0.007096766019011082,3.934237948145588e-51,6.163380313809296e-26,6.056188749893867e-35,0.7096766019011076,6.056188749893867e-35,2.477541591039347e-35,0.08138444150269873,0.19893895659619304
0,10,1,payoffs,2.0,1.3941599181854469e-25,1.0,1.0,2.0,1.3941599181854469e-25,3.0,1.0,0.0,1.3941599181854469e-25,1.0,1.0
0,10,2,shares,2.936111255600971e-52,2.1986678085849547e-27,0.004500009819656719,0.005499990180343283,8.230606843501113e-51,6.163380313809296e-26,7.976282266518965e-35,0.7096766019011076,7.976282266518965e-35,5.574480744142496e-36,0.12614580441245526,0.15417759368643652
0,10,2,payoffs,2.0,1.4685032176125117e-25,1.0,1.0,2.0,1.4685032176125117e-25,3.0,1.0,0.0,1.4685032176125117e-25,1.0,1.0
0,10,3,shares,4.550486631144016e-52,2.1986678085849547e-27,0.005510213897195619,0.004489786102804383,1.2756078754205185e-50,6.163380313809296e-26,8.431341736713137e-35,0.7096766019011076,8.431341736713137e-35,1.0238860422007782e-36,0.15446418839136133,0.12585920970753045
0,10,3,payoffs,2.0,1.519774424055799e-25,1.0,1.0,2.0,1.519774424055799e-25,3.0,1.0,0.0,1.519774424055799e-25,1.0,1.0
0,10,4,shares,6.22122618235833e-52,2.1986678085849547e-27,0.006206905892651672,0.0037930941073483306,1.7439552637458248e-50,6.163380313809296e-26,8.517842430161365e-35,0.7096766019011076,8.517842430161365e-35,1.5887910771849522e-37,0.17399409515081515,0.10632930294807663
