externalizing,externalizing,externalizing,externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,externalizing,externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing
2.0,0.1335677608812431,1.0,1.1335677608812431,2.0,0.1335677608812431,3.0,1.1335677608812431,0.0,0.1335677608812431,1.0,1.1335677608812431,,,,,,
0.0,0.006437126099026788,0.0,0.0035628739009732164,0.0,0.3228417866341153,0.0,0.48596288610748495,0.0,0.0025061796407760527,0.0,0.17868914761762325,,,,,,
2.0,0.6635701847478366,1.0,1.6635701847478366,2.0,0.6635701847478366,3.0,1.6635701847478366,0.0,0.6635701847478366,1.0,1.6635701847478366,,,,,,
0.0021271887884304155,0.004309937310596373,0.0006516627631191701,0.0029112111378540462,0.10668509803913297,0.21615668859498233,0.0012222650676449343,0.48474062103984,0.0012222650676449345,0.0012839145731311182,0.032682903440422656,0.1460062441772006,,,,,,
2.0,0.5184669317443762,1.0,1.5184669317443762,2.0,0.5184669317443762,3.0,1.5184669317443762,0.0,0.5184669317443762,1.0,1.5184669317443762,,,,,,
0.0032417931618669072,0.0031953329371598813,0.001160204081412393,0.0024026698195608234,0.16258595531220066,0.16025583132191462,0.0019523148524108443,0.4840105712550741,0.0019523148524108447,0.000553864788365208,0.05818782368734372,0.12050132393027953,,,,,,
2.0,0.4254789482917252,1.0,1.4254789482917252,2.0,0.4254789482917252,3.0,1.4254789482917252,0.0,0.4254789482917252,1.0,1.4254789482917252,,,,,,
0.003921388981172436,0.002515737117854352,0.0015444476903362014,0.002018426210637015,0.19666978792918843,0.12617199870492685,0.0023011378960703373,0.48366174821141455,0.0023011378960703377,0.00020504174470571484,0.07745882930372544,0.10123031831389781,,,,,,
2.0,0.3601346428966382,1.0,1.3601346428966383,2.0,0.3601346428966382,3.0,1.3601346428966383,0.0,0.3601346428966382,1.0,1.3601346428966383,,,,,,
0.004374949345056985,0.0020621767539698035,0.0018364123823416147,0.0017264615186316017,0.21941724323304604,0.10342454340106924,0.0024400745091427653,0.48352281159834215,0.0024400745091427657,6.610513163328685e-05,0.09210176177872503,0.08658738583889822,,,,,,
2.0,0.31164589277526594,1.0,1.311645892775266,2.0,0.31164589277526594,3.0,1.311645892775266,0.0,0.31164589277526594,1.0,1.311645892775266,,,,,,
0.004696903122073323,0.0017402229769534654,0.002062072887500534,0.0015008010134726826,0.235564221090334,0.08727756554378127,0.0024873811369045544,0.48347550497058034,0.002487381136904555,1.879850387149778e-05,0.10341933417633223,0.07526981344129102,,,,,,
2.0,0.27426138457137417,1.0,1.2742613845713742,2.0,0.27426138457137417,3.0,1.2742613845713742,0.0,0.27426138457137417,1.0,1.2742613845713742,,,,,,
0.004936043486509696,0.001501082612517093,0.0022399374048815745,0.001322936496091642,0.24755785012964152,0.07528393650447376,0.0025014115012535554,0.48346147460623135,0.002501411501253556,4.768139522496925e-06,0.11233978993356701,0.06634935768405624,,,,,,
2.0,0.24458323475053054,1.0,1.2445832347505306,2.0,0.24458323475053054,3.0,1.2445832347505306,0.0,0.24458323475053054,1.0,1.2445832347505306,,,,,,
0.0051199894538495805,0.0013171366451772079,0.002382813337257637,0.0011800605637155793,0.25678330941482275,0.06605847721929253,0.002505090418402316,0.4834577956890826,0.0025050904184023164,1.089222373736528e-06,0.1195054599182325,0.05918368769939075,,,,,,
2.0,0.22047413719935177,1.0,1.2204741371993517,2.0,0.22047413719935177,3.0,1.2204741371993517,0.0,0.22047413719935177,1.0,1.2204741371993517,,,,,,
0.0052654652642101845,0.001171660834816604,0.002499585066990696,0.00106328883398252,0.26407937132294096,0.0587624153111743,0.002505953659957235,0.4834569324475277,0.0025059536599572356,2.259808188174117e-07,0.12536192338895377,0.053327224228669486,,,,,,
2.0,0.20052235573845453,1.0,1.2005223557384546,2.0,0.20052235573845453,3.0,1.2005223557384546,0.0,0.20052235573845453,1.0,1.2005223557384546,,,,,,
0.005383146238638287,0.0010539798603885011,0.00259650317696522,0.0009663707240079962,0.2699814362277991,0.05286035040631616,0.0025061367479643944,0.48345674935952054,0.002506136747964395,4.2892811658053e-08,0.13022266641309735,0.048466481204525916,,,,,,
2.0,0.18375599180381288,1.0,1.183755991803813,2.0,0.18375599180381288,3.0,1.183755991803813,0.0,0.18375599180381288,1.0,1.183755991803813,,,,,,
